Original_Index,Noisy_Label,Noisy_Class,Suggested_Label,Suggested_Class,Confidence_Score,Action_Pruned_Models,Action_Corrected_Models
8195,0,airplane,3,cat,0.335346133,REMOVED,FIXED → Suggested_Class
20145,0,airplane,5,dog,0.335413069,REMOVED,FIXED → Suggested_Class
17369,3,cat,5,dog,0.335682452,REMOVED,FIXED → Suggested_Class
47278,9,truck,5,dog,0.335985631,REMOVED,FIXED → Suggested_Class
33329,3,cat,0,airplane,0.336534858,REMOVED,FIXED → Suggested_Class
28444,0,airplane,8,ship,0.337126821,REMOVED,FIXED → Suggested_Class
28825,5,dog,3,cat,0.337255627,REMOVED,FIXED → Suggested_Class
10831,6,frog,4,deer,0.337640464,REMOVED,FIXED → Suggested_Class
45484,0,airplane,5,dog,0.337818474,REMOVED,FIXED → Suggested_Class
43244,0,airplane,2,bird,0.338005692,REMOVED,FIXED → Suggested_Class
39755,7,horse,5,dog,0.33920145,REMOVED,FIXED → Suggested_Class
17839,4,deer,5,dog,0.339352399,REMOVED,FIXED → Suggested_Class
5545,5,dog,4,deer,0.339471161,REMOVED,FIXED → Suggested_Class
29198,0,airplane,5,dog,0.340357453,REMOVED,FIXED → Suggested_Class
4915,3,cat,5,dog,0.340882003,REMOVED,FIXED → Suggested_Class
22505,5,dog,7,horse,0.341193348,REMOVED,FIXED → Suggested_Class
36000,5,dog,3,cat,0.341816753,REMOVED,FIXED → Suggested_Class
36588,3,cat,5,dog,0.342073292,REMOVED,FIXED → Suggested_Class
26036,3,cat,7,horse,0.34261325,REMOVED,FIXED → Suggested_Class
13307,4,deer,5,dog,0.34323898,REMOVED,FIXED → Suggested_Class
35497,6,frog,5,dog,0.344727725,REMOVED,FIXED → Suggested_Class
35348,0,airplane,2,bird,0.344813466,REMOVED,FIXED → Suggested_Class
48999,3,cat,9,truck,0.345420837,REMOVED,FIXED → Suggested_Class
39244,4,deer,6,frog,0.34554106,REMOVED,FIXED → Suggested_Class
11969,5,dog,9,truck,0.347034544,REMOVED,FIXED → Suggested_Class
35126,2,bird,5,dog,0.348159939,REMOVED,FIXED → Suggested_Class
46570,4,deer,2,bird,0.348310262,REMOVED,FIXED → Suggested_Class
13036,0,airplane,2,bird,0.348531365,REMOVED,FIXED → Suggested_Class
41538,0,airplane,3,cat,0.348628938,REMOVED,FIXED → Suggested_Class
34972,5,dog,7,horse,0.350858539,REMOVED,FIXED → Suggested_Class
16207,0,airplane,5,dog,0.351409972,REMOVED,FIXED → Suggested_Class
39852,3,cat,1,automobile,0.352186501,REMOVED,FIXED → Suggested_Class
46017,5,dog,3,cat,0.352308065,REMOVED,FIXED → Suggested_Class
23094,5,dog,3,cat,0.352612346,REMOVED,FIXED → Suggested_Class
3101,0,airplane,2,bird,0.353067726,REMOVED,FIXED → Suggested_Class
3348,7,horse,2,bird,0.354026198,REMOVED,FIXED → Suggested_Class
12491,6,frog,5,dog,0.354452014,REMOVED,FIXED → Suggested_Class
26325,5,dog,3,cat,0.354752213,REMOVED,FIXED → Suggested_Class
5681,5,dog,3,cat,0.355330884,REMOVED,FIXED → Suggested_Class
4598,0,airplane,3,cat,0.355381429,REMOVED,FIXED → Suggested_Class
11142,6,frog,4,deer,0.355403572,REMOVED,FIXED → Suggested_Class
9291,5,dog,3,cat,0.356533319,REMOVED,FIXED → Suggested_Class
701,0,airplane,2,bird,0.357797235,REMOVED,FIXED → Suggested_Class
35007,3,cat,9,truck,0.358187735,REMOVED,FIXED → Suggested_Class
38364,3,cat,7,horse,0.35830164,REMOVED,FIXED → Suggested_Class
9734,2,bird,0,airplane,0.358951181,REMOVED,FIXED → Suggested_Class
13602,5,dog,7,horse,0.36059159,REMOVED,FIXED → Suggested_Class
4564,3,cat,0,airplane,0.360916108,REMOVED,FIXED → Suggested_Class
49944,3,cat,9,truck,0.361047298,REMOVED,FIXED → Suggested_Class
39095,5,dog,2,bird,0.361195058,REMOVED,FIXED → Suggested_Class
37613,2,bird,3,cat,0.362091631,REMOVED,FIXED → Suggested_Class
34057,5,dog,7,horse,0.362094551,REMOVED,FIXED → Suggested_Class
20721,5,dog,3,cat,0.362436712,REMOVED,FIXED → Suggested_Class
45379,5,dog,3,cat,0.362949252,REMOVED,FIXED → Suggested_Class
41512,0,airplane,2,bird,0.36326766,REMOVED,FIXED → Suggested_Class
23376,5,dog,4,deer,0.363999099,REMOVED,FIXED → Suggested_Class
20569,5,dog,9,truck,0.364783049,REMOVED,FIXED → Suggested_Class
4342,0,airplane,5,dog,0.364906073,REMOVED,FIXED → Suggested_Class
46652,0,airplane,2,bird,0.365006775,REMOVED,FIXED → Suggested_Class
28348,2,bird,5,dog,0.365142167,REMOVED,FIXED → Suggested_Class
602,8,ship,4,deer,0.36597085,REMOVED,FIXED → Suggested_Class
1698,7,horse,1,automobile,0.366325021,REMOVED,FIXED → Suggested_Class
48105,0,airplane,9,truck,0.366455585,REMOVED,FIXED → Suggested_Class
3251,7,horse,2,bird,0.366472691,REMOVED,FIXED → Suggested_Class
14264,3,cat,5,dog,0.369106263,REMOVED,FIXED → Suggested_Class
4984,3,cat,9,truck,0.369441092,REMOVED,FIXED → Suggested_Class
11983,4,deer,5,dog,0.369508207,REMOVED,FIXED → Suggested_Class
4509,0,airplane,3,cat,0.369816095,REMOVED,FIXED → Suggested_Class
8356,3,cat,5,dog,0.370487034,REMOVED,FIXED → Suggested_Class
12012,6,frog,0,airplane,0.371336997,REMOVED,FIXED → Suggested_Class
26081,0,airplane,2,bird,0.37175554,REMOVED,FIXED → Suggested_Class
26980,8,ship,3,cat,0.371838629,REMOVED,FIXED → Suggested_Class
16164,3,cat,6,frog,0.372053087,REMOVED,FIXED → Suggested_Class
32862,5,dog,1,automobile,0.372529507,REMOVED,FIXED → Suggested_Class
16768,6,frog,3,cat,0.372679472,REMOVED,FIXED → Suggested_Class
3828,5,dog,6,frog,0.373564601,REMOVED,FIXED → Suggested_Class
7533,3,cat,0,airplane,0.373739272,REMOVED,FIXED → Suggested_Class
34029,3,cat,6,frog,0.373822093,REMOVED,FIXED → Suggested_Class
30224,0,airplane,5,dog,0.374111742,REMOVED,FIXED → Suggested_Class
24013,7,horse,3,cat,0.375151753,REMOVED,FIXED → Suggested_Class
864,0,airplane,5,dog,0.375673831,REMOVED,FIXED → Suggested_Class
48561,3,cat,6,frog,0.376277834,REMOVED,FIXED → Suggested_Class
19056,0,airplane,4,deer,0.376490802,REMOVED,FIXED → Suggested_Class
47073,9,truck,5,dog,0.377035826,REMOVED,FIXED → Suggested_Class
38170,0,airplane,2,bird,0.379220933,REMOVED,FIXED → Suggested_Class
47123,0,airplane,2,bird,0.379286915,REMOVED,FIXED → Suggested_Class
21549,3,cat,5,dog,0.379713744,REMOVED,FIXED → Suggested_Class
6522,7,horse,5,dog,0.379740536,REMOVED,FIXED → Suggested_Class
23668,6,frog,5,dog,0.380122364,REMOVED,FIXED → Suggested_Class
17051,3,cat,5,dog,0.380286664,REMOVED,FIXED → Suggested_Class
1057,3,cat,2,bird,0.380378127,REMOVED,FIXED → Suggested_Class
13621,0,airplane,1,automobile,0.38053444,REMOVED,FIXED → Suggested_Class
27977,5,dog,3,cat,0.380615771,REMOVED,FIXED → Suggested_Class
45433,3,cat,6,frog,0.381148428,REMOVED,FIXED → Suggested_Class
48907,3,cat,6,frog,0.381857038,REMOVED,FIXED → Suggested_Class
3826,6,frog,2,bird,0.381903559,REMOVED,FIXED → Suggested_Class
13945,4,deer,7,horse,0.38193962,REMOVED,FIXED → Suggested_Class
28397,0,airplane,2,bird,0.382567018,REMOVED,FIXED → Suggested_Class
11270,0,airplane,2,bird,0.382837802,REMOVED,FIXED → Suggested_Class
31883,5,dog,2,bird,0.382929891,REMOVED,FIXED → Suggested_Class
6716,3,cat,0,airplane,0.383180499,REMOVED,FIXED → Suggested_Class
43287,0,airplane,4,deer,0.383445293,REMOVED,FIXED → Suggested_Class
6839,7,horse,3,cat,0.383627743,REMOVED,FIXED → Suggested_Class
19385,4,deer,2,bird,0.383865625,REMOVED,FIXED → Suggested_Class
44689,4,deer,7,horse,0.383977443,REMOVED,FIXED → Suggested_Class
44245,0,airplane,9,truck,0.384799719,REMOVED,FIXED → Suggested_Class
13202,3,cat,5,dog,0.385190338,REMOVED,FIXED → Suggested_Class
22737,5,dog,6,frog,0.385426968,REMOVED,FIXED → Suggested_Class
37809,3,cat,4,deer,0.386070013,REMOVED,FIXED → Suggested_Class
43237,3,cat,5,dog,0.386318326,REMOVED,FIXED → Suggested_Class
46923,3,cat,4,deer,0.386398643,REMOVED,FIXED → Suggested_Class
8395,0,airplane,5,dog,0.386535138,REMOVED,FIXED → Suggested_Class
14942,5,dog,9,truck,0.387026161,REMOVED,FIXED → Suggested_Class
30966,9,truck,4,deer,0.387803555,REMOVED,FIXED → Suggested_Class
42370,3,cat,5,dog,0.387856483,REMOVED,FIXED → Suggested_Class
38667,7,horse,1,automobile,0.388189137,REMOVED,FIXED → Suggested_Class
30482,6,frog,5,dog,0.388795793,REMOVED,FIXED → Suggested_Class
17403,0,airplane,2,bird,0.389014095,REMOVED,FIXED → Suggested_Class
41828,5,dog,3,cat,0.389019996,REMOVED,FIXED → Suggested_Class
6849,5,dog,7,horse,0.389640957,REMOVED,FIXED → Suggested_Class
19734,0,airplane,6,frog,0.390756011,REMOVED,FIXED → Suggested_Class
45953,2,bird,0,airplane,0.391267359,REMOVED,FIXED → Suggested_Class
44703,4,deer,5,dog,0.39142102,REMOVED,FIXED → Suggested_Class
22585,7,horse,8,ship,0.391444683,REMOVED,FIXED → Suggested_Class
12552,5,dog,6,frog,0.391530037,REMOVED,FIXED → Suggested_Class
13085,3,cat,6,frog,0.392000914,REMOVED,FIXED → Suggested_Class
25966,6,frog,0,airplane,0.392232895,REMOVED,FIXED → Suggested_Class
45468,7,horse,3,cat,0.392272115,REMOVED,FIXED → Suggested_Class
14485,3,cat,5,dog,0.392465264,REMOVED,FIXED → Suggested_Class
49117,5,dog,2,bird,0.393251926,REMOVED,FIXED → Suggested_Class
22793,3,cat,5,dog,0.393253177,REMOVED,FIXED → Suggested_Class
10225,7,horse,2,bird,0.393370301,REMOVED,FIXED → Suggested_Class
1489,7,horse,3,cat,0.39372319,REMOVED,FIXED → Suggested_Class
31198,3,cat,6,frog,0.39398244,REMOVED,FIXED → Suggested_Class
29028,5,dog,0,airplane,0.394269764,REMOVED,FIXED → Suggested_Class
42345,2,bird,0,airplane,0.395554274,REMOVED,FIXED → Suggested_Class
10160,0,airplane,5,dog,0.395876169,REMOVED,FIXED → Suggested_Class
30102,2,bird,0,airplane,0.395929962,REMOVED,FIXED → Suggested_Class
11078,0,airplane,6,frog,0.396055549,REMOVED,FIXED → Suggested_Class
19833,4,deer,5,dog,0.39630422,REMOVED,FIXED → Suggested_Class
19815,0,airplane,2,bird,0.396399021,REMOVED,FIXED → Suggested_Class
621,4,deer,7,horse,0.397279829,REMOVED,FIXED → Suggested_Class
32889,6,frog,5,dog,0.397840023,REMOVED,FIXED → Suggested_Class
42654,3,cat,5,dog,0.397903204,REMOVED,FIXED → Suggested_Class
40373,5,dog,3,cat,0.398185492,REMOVED,FIXED → Suggested_Class
18665,6,frog,5,dog,0.398330361,REMOVED,FIXED → Suggested_Class
35781,6,frog,3,cat,0.398604065,REMOVED,FIXED → Suggested_Class
41621,6,frog,7,horse,0.398965091,REMOVED,FIXED → Suggested_Class
850,5,dog,6,frog,0.399357796,REMOVED,FIXED → Suggested_Class
44344,0,airplane,2,bird,0.399752438,REMOVED,FIXED → Suggested_Class
15255,0,airplane,3,cat,0.401472509,REMOVED,FIXED → Suggested_Class
36020,0,airplane,2,bird,0.401934206,REMOVED,FIXED → Suggested_Class
16683,0,airplane,2,bird,0.402294159,REMOVED,FIXED → Suggested_Class
15091,0,airplane,9,truck,0.402682036,REMOVED,FIXED → Suggested_Class
31204,5,dog,0,airplane,0.402712256,REMOVED,FIXED → Suggested_Class
32621,3,cat,7,horse,0.402963609,REMOVED,FIXED → Suggested_Class
41027,3,cat,5,dog,0.403479874,REMOVED,FIXED → Suggested_Class
494,3,cat,5,dog,0.403483778,REMOVED,FIXED → Suggested_Class
39778,5,dog,0,airplane,0.403676748,REMOVED,FIXED → Suggested_Class
14672,2,bird,0,airplane,0.40449807,REMOVED,FIXED → Suggested_Class
24348,5,dog,3,cat,0.404567182,REMOVED,FIXED → Suggested_Class
11921,0,airplane,5,dog,0.405185431,REMOVED,FIXED → Suggested_Class
12517,5,dog,4,deer,0.405428827,REMOVED,FIXED → Suggested_Class
8256,6,frog,3,cat,0.405454636,REMOVED,FIXED → Suggested_Class
8710,3,cat,5,dog,0.405458272,REMOVED,FIXED → Suggested_Class
38984,5,dog,6,frog,0.405486912,REMOVED,FIXED → Suggested_Class
39272,3,cat,6,frog,0.407059133,REMOVED,FIXED → Suggested_Class
5410,2,bird,3,cat,0.408176154,REMOVED,FIXED → Suggested_Class
34775,6,frog,3,cat,0.409472346,REMOVED,FIXED → Suggested_Class
28793,4,deer,6,frog,0.409549206,REMOVED,FIXED → Suggested_Class
43441,0,airplane,2,bird,0.40958041,REMOVED,FIXED → Suggested_Class
10384,7,horse,3,cat,0.40964511,REMOVED,FIXED → Suggested_Class
14706,3,cat,6,frog,0.409678251,REMOVED,FIXED → Suggested_Class
49600,5,dog,4,deer,0.40969795,REMOVED,FIXED → Suggested_Class
878,3,cat,5,dog,0.410052389,REMOVED,FIXED → Suggested_Class
31218,6,frog,5,dog,0.410211235,REMOVED,FIXED → Suggested_Class
47997,5,dog,3,cat,0.410297751,REMOVED,FIXED → Suggested_Class
18946,5,dog,9,truck,0.410630137,REMOVED,FIXED → Suggested_Class
47903,0,airplane,1,automobile,0.410767972,REMOVED,FIXED → Suggested_Class
20291,7,horse,5,dog,0.410891503,REMOVED,FIXED → Suggested_Class
34974,0,airplane,2,bird,0.410916388,REMOVED,FIXED → Suggested_Class
6622,5,dog,2,bird,0.410934001,REMOVED,FIXED → Suggested_Class
43150,7,horse,4,deer,0.411862999,REMOVED,FIXED → Suggested_Class
6154,6,frog,0,airplane,0.41190365,REMOVED,FIXED → Suggested_Class
2336,6,frog,5,dog,0.411979675,REMOVED,FIXED → Suggested_Class
12051,6,frog,5,dog,0.412471503,REMOVED,FIXED → Suggested_Class
23636,0,airplane,2,bird,0.412497342,REMOVED,FIXED → Suggested_Class
17669,2,bird,5,dog,0.412833571,REMOVED,FIXED → Suggested_Class
13413,2,bird,6,frog,0.412906468,REMOVED,FIXED → Suggested_Class
18960,3,cat,2,bird,0.413007528,REMOVED,FIXED → Suggested_Class
13493,7,horse,5,dog,0.413442582,REMOVED,FIXED → Suggested_Class
6079,5,dog,2,bird,0.41377151,REMOVED,FIXED → Suggested_Class
47084,9,truck,6,frog,0.41392225,REMOVED,FIXED → Suggested_Class
47413,5,dog,2,bird,0.414659917,REMOVED,FIXED → Suggested_Class
45280,6,frog,5,dog,0.414742649,REMOVED,FIXED → Suggested_Class
25541,5,dog,3,cat,0.414831579,REMOVED,FIXED → Suggested_Class
18167,5,dog,6,frog,0.415462226,REMOVED,FIXED → Suggested_Class
33587,0,airplane,6,frog,0.415591329,REMOVED,FIXED → Suggested_Class
10619,3,cat,5,dog,0.416186899,REMOVED,FIXED → Suggested_Class
37373,2,bird,5,dog,0.416338414,REMOVED,FIXED → Suggested_Class
13898,2,bird,4,deer,0.417514145,REMOVED,FIXED → Suggested_Class
40389,8,ship,0,airplane,0.417550683,REMOVED,FIXED → Suggested_Class
36104,5,dog,9,truck,0.417570829,REMOVED,FIXED → Suggested_Class
21825,0,airplane,3,cat,0.417584181,REMOVED,FIXED → Suggested_Class
15311,5,dog,3,cat,0.417620182,REMOVED,FIXED → Suggested_Class
9361,7,horse,3,cat,0.417965025,REMOVED,FIXED → Suggested_Class
12589,0,airplane,5,dog,0.418313891,REMOVED,FIXED → Suggested_Class
8092,0,airplane,4,deer,0.418639123,REMOVED,FIXED → Suggested_Class
478,7,horse,5,dog,0.419043779,REMOVED,FIXED → Suggested_Class
26657,5,dog,3,cat,0.419375509,REMOVED,FIXED → Suggested_Class
43620,4,deer,3,cat,0.419414967,REMOVED,FIXED → Suggested_Class
27685,2,bird,4,deer,0.419821173,REMOVED,FIXED → Suggested_Class
42694,2,bird,5,dog,0.419885755,REMOVED,FIXED → Suggested_Class
48967,5,dog,3,cat,0.420233965,REMOVED,FIXED → Suggested_Class
26928,5,dog,8,ship,0.420348853,REMOVED,FIXED → Suggested_Class
11723,6,frog,2,bird,0.420599669,REMOVED,FIXED → Suggested_Class
3375,0,airplane,2,bird,0.420939893,REMOVED,FIXED → Suggested_Class
39073,3,cat,5,dog,0.420962125,REMOVED,FIXED → Suggested_Class
26186,2,bird,0,airplane,0.421368033,REMOVED,FIXED → Suggested_Class
28845,6,frog,3,cat,0.42140916,REMOVED,FIXED → Suggested_Class
40009,0,airplane,3,cat,0.421775818,REMOVED,FIXED → Suggested_Class
47786,5,dog,3,cat,0.422166467,REMOVED,FIXED → Suggested_Class
20101,5,dog,2,bird,0.422243804,REMOVED,FIXED → Suggested_Class
6868,3,cat,0,airplane,0.422650963,REMOVED,FIXED → Suggested_Class
24684,0,airplane,2,bird,0.423027188,REMOVED,FIXED → Suggested_Class
21211,7,horse,3,cat,0.423049688,REMOVED,FIXED → Suggested_Class
33959,4,deer,7,horse,0.423169792,REMOVED,FIXED → Suggested_Class
17096,5,dog,3,cat,0.423297733,REMOVED,FIXED → Suggested_Class
25049,0,airplane,6,frog,0.423392683,REMOVED,FIXED → Suggested_Class
36972,0,airplane,6,frog,0.423677027,REMOVED,FIXED → Suggested_Class
38757,6,frog,2,bird,0.423699349,REMOVED,FIXED → Suggested_Class
33615,1,automobile,9,truck,0.424011081,REMOVED,FIXED → Suggested_Class
215,6,frog,3,cat,0.424126685,REMOVED,FIXED → Suggested_Class
14963,6,frog,5,dog,0.424259096,REMOVED,FIXED → Suggested_Class
18727,2,bird,0,airplane,0.424388587,REMOVED,FIXED → Suggested_Class
19033,4,deer,5,dog,0.424585938,REMOVED,FIXED → Suggested_Class
40989,6,frog,5,dog,0.42469424,REMOVED,FIXED → Suggested_Class
5638,0,airplane,2,bird,0.425790489,REMOVED,FIXED → Suggested_Class
30763,5,dog,6,frog,0.426017106,REMOVED,FIXED → Suggested_Class
42445,5,dog,4,deer,0.426026404,REMOVED,FIXED → Suggested_Class
12748,0,airplane,6,frog,0.426088274,REMOVED,FIXED → Suggested_Class
8649,3,cat,5,dog,0.426215768,REMOVED,FIXED → Suggested_Class
17887,2,bird,3,cat,0.426229954,REMOVED,FIXED → Suggested_Class
14955,7,horse,3,cat,0.426333517,REMOVED,FIXED → Suggested_Class
18584,3,cat,5,dog,0.426663667,REMOVED,FIXED → Suggested_Class
22360,4,deer,2,bird,0.42745629,REMOVED,FIXED → Suggested_Class
8491,4,deer,5,dog,0.427636534,REMOVED,FIXED → Suggested_Class
47982,5,dog,3,cat,0.427653223,REMOVED,FIXED → Suggested_Class
13820,0,airplane,2,bird,0.427688628,REMOVED,FIXED → Suggested_Class
21538,1,automobile,9,truck,0.427817106,REMOVED,FIXED → Suggested_Class
5400,5,dog,3,cat,0.428252935,REMOVED,FIXED → Suggested_Class
31972,6,frog,7,horse,0.428257197,REMOVED,FIXED → Suggested_Class
43613,5,dog,6,frog,0.428358495,REMOVED,FIXED → Suggested_Class
20315,5,dog,6,frog,0.428739041,REMOVED,FIXED → Suggested_Class
36635,0,airplane,5,dog,0.428870708,REMOVED,FIXED → Suggested_Class
47351,5,dog,4,deer,0.429085165,REMOVED,FIXED → Suggested_Class
24106,5,dog,0,airplane,0.429160684,REMOVED,FIXED → Suggested_Class
49146,3,cat,4,deer,0.429164618,REMOVED,FIXED → Suggested_Class
22228,0,airplane,6,frog,0.429336995,REMOVED,FIXED → Suggested_Class
49032,5,dog,3,cat,0.42976746,REMOVED,FIXED → Suggested_Class
13625,9,truck,3,cat,0.43007791,REMOVED,FIXED → Suggested_Class
35392,7,horse,4,deer,0.430456012,REMOVED,FIXED → Suggested_Class
16208,2,bird,4,deer,0.430529833,REMOVED,FIXED → Suggested_Class
9740,0,airplane,9,truck,0.430930793,REMOVED,FIXED → Suggested_Class
34439,3,cat,0,airplane,0.430962443,REMOVED,FIXED → Suggested_Class
38295,6,frog,7,horse,0.431312442,REMOVED,FIXED → Suggested_Class
2237,2,bird,0,airplane,0.431524485,REMOVED,FIXED → Suggested_Class
16924,4,deer,7,horse,0.431609333,REMOVED,FIXED → Suggested_Class
28927,0,airplane,2,bird,0.431805342,REMOVED,FIXED → Suggested_Class
38349,0,airplane,3,cat,0.431955785,REMOVED,FIXED → Suggested_Class
31551,6,frog,4,deer,0.432175428,REMOVED,FIXED → Suggested_Class
8262,3,cat,5,dog,0.432729214,REMOVED,FIXED → Suggested_Class
36648,1,automobile,2,bird,0.432776719,REMOVED,FIXED → Suggested_Class
37251,3,cat,0,airplane,0.43280977,REMOVED,FIXED → Suggested_Class
18464,2,bird,3,cat,0.432985008,REMOVED,FIXED → Suggested_Class
31094,5,dog,3,cat,0.433731705,REMOVED,FIXED → Suggested_Class
43319,0,airplane,2,bird,0.433803976,REMOVED,FIXED → Suggested_Class
9933,0,airplane,7,horse,0.433835775,REMOVED,FIXED → Suggested_Class
5123,2,bird,5,dog,0.434319973,REMOVED,FIXED → Suggested_Class
29921,5,dog,6,frog,0.434453905,REMOVED,FIXED → Suggested_Class
11259,5,dog,7,horse,0.435448855,REMOVED,FIXED → Suggested_Class
6805,2,bird,5,dog,0.435833663,REMOVED,FIXED → Suggested_Class
47248,0,airplane,3,cat,0.436113209,REMOVED,FIXED → Suggested_Class
5326,7,horse,3,cat,0.436503679,REMOVED,FIXED → Suggested_Class
42382,5,dog,8,ship,0.437523335,REMOVED,FIXED → Suggested_Class
3349,0,airplane,5,dog,0.437750161,REMOVED,FIXED → Suggested_Class
941,5,dog,3,cat,0.4379327,REMOVED,FIXED → Suggested_Class
20738,7,horse,2,bird,0.437984467,REMOVED,FIXED → Suggested_Class
13829,5,dog,8,ship,0.438045412,REMOVED,FIXED → Suggested_Class
24238,5,dog,6,frog,0.438144892,REMOVED,FIXED → Suggested_Class
49082,6,frog,3,cat,0.438483119,REMOVED,FIXED → Suggested_Class
49367,3,cat,0,airplane,0.438635081,REMOVED,FIXED → Suggested_Class
48154,6,frog,0,airplane,0.438807249,REMOVED,FIXED → Suggested_Class
11131,3,cat,5,dog,0.439086556,REMOVED,FIXED → Suggested_Class
24779,5,dog,6,frog,0.439723015,REMOVED,FIXED → Suggested_Class
392,0,airplane,2,bird,0.439936578,REMOVED,FIXED → Suggested_Class
35061,6,frog,5,dog,0.440581769,REMOVED,FIXED → Suggested_Class
9729,6,frog,9,truck,0.44075343,REMOVED,FIXED → Suggested_Class
43456,3,cat,2,bird,0.441533417,REMOVED,FIXED → Suggested_Class
7107,3,cat,5,dog,0.441540718,REMOVED,FIXED → Suggested_Class
6207,5,dog,7,horse,0.442344517,REMOVED,FIXED → Suggested_Class
2581,5,dog,2,bird,0.443239361,REMOVED,FIXED → Suggested_Class
2349,0,airplane,5,dog,0.443847418,REMOVED,FIXED → Suggested_Class
